lat,long,customer_id,trip_id,week_index,type,ride_count
40.758,-73.976,59,126151000000000.0,82,destination,6
40.806,-73.94,59,20410700000000.0,82,destination,39
40.806,-73.94,59,25857100000000.0,82,destination,39
40.806,-73.94,59,28202100000000.0,82,destination,39
40.764,-73.976,59,235691000000000.0,82,destination,128
40.764,-73.976,59,238111000000000.0,82,destination,128
40.806,-73.94,59,273156000000000.0,82,destination,39
40.764,-73.98,59,240118000000000.0,82,destination,12
40.764,-73.976,59,252549000000000.0,82,destination,128
40.764,-73.98,59,258576000000000.0,82,destination,12
40.764,-73.98,59,262358000000000.0,82,destination,12
40.764,-73.98,59,266720000000000.0,82,destination,12
40.764,-73.976,59,165370000000000.0,82,destination,128
40.806,-73.94,59,74854900000000.0,83,destination,39
40.764,-73.976,59,191316000000000.0,83,destination,128
40.806,-73.94,59,147792000000000.0,83,destination,39
40.764,-73.976,59,269195000000000.0,83,destination,128
40.764,-73.976,59,275423000000000.0,83,destination,128
40.764,-73.976,59,302570000000.0,83,destination,128
40.764,-73.976,59,7110590000000.0,83,destination,128
40.806,-73.94,59,140493000000000.0,83,destination,39
40.806,-73.94,59,146520000000000.0,83,destination,39
40.776,-73.956,59,88014200000000.0,83,destination,4
40.764,-73.976,59,10022500000000.0,83,destination,128
40.754,-73.976,59,178828000000000.0,83,destination,8
40.806,-73.94,59,121207000000000.0,83,destination,39
40.764,-73.976,59,22003700000000.0,83,destination,128
40.764,-73.976,59,37006500000000.0,83,destination,128
40.764,-73.976,59,85242700000000.0,83,destination,128
40.764,-73.976,59,91470700000000.0,83,destination,128
40.764,-73.976,59,184413000000000.0,83,destination,128
40.762,-73.966,59,8482460000000.0,83,destination,12
40.806,-73.94,59,277688000000000.0,84,destination,39
40.806,-73.94,59,280386000000000.0,84,destination,39
40.764,-73.976,59,264647000000000.0,84,destination,128
40.806,-73.94,59,140888000000000.0,84,destination,39
40.806,-73.94,59,142376000000000.0,84,destination,39
40.764,-73.978,59,158078000000000.0,84,destination,33
40.806,-73.94,59,227391000000000.0,84,destination,39
40.764,-73.976,59,180031000000000.0,84,destination,128
40.806,-73.94,59,66636300000000.0,84,destination,39
40.764,-73.976,59,247019000000000.0,84,destination,128
40.764,-73.976,59,253196000000000.0,84,destination,128
40.806,-73.94,59,160375000000000.0,84,destination,39
40.764,-73.976,59,242391000000000.0,84,destination,128
40.764,-73.976,59,254621000000000.0,84,destination,128
40.764,-73.976,59,259159000000000.0,84,destination,128
40.704,-74.006,59,34709300000000.0,85,destination,3
40.764,-73.976,59,142878000000000.0,85,destination,128
40.806,-73.94,59,200492000000000.0,85,destination,39
40.764,-73.976,59,7994660000000.0,85,destination,128
40.764,-73.976,59,10793500000000.0,85,destination,128
40.764,-73.976,59,12432500000000.0,85,destination,128
40.764,-73.976,59,18257100000000.0,85,destination,128
40.764,-73.976,59,20350000000000.0,85,destination,128
40.806,-73.94,59,125948000000000.0,85,destination,39
40.764,-73.976,59,137516000000000.0,85,destination,128
40.764,-73.976,59,143744000000000.0,85,destination,128
40.764,-73.976,59,165378000000000.0,85,destination,128
40.764,-73.976,59,168555000000000.0,85,destination,128
40.764,-73.978,59,54698800000000.0,85,destination,33
40.806,-73.94,59,50954000000000.0,86,destination,39
40.806,-73.94,59,68024500000000.0,86,destination,39
40.764,-73.978,59,60605300000000.0,86,destination,33
40.764,-73.978,59,62420800000000.0,86,destination,33
40.764,-73.978,59,64740600000000.0,86,destination,33
40.806,-73.94,59,238343000000000.0,86,destination,39
40.806,-73.94,59,248152000000000.0,86,destination,39
40.806,-73.938,59,136557000000000.0,86,destination,56
40.806,-73.938,59,50790800000000.0,86,destination,56
40.764,-73.976,59,75292700000000.0,86,destination,128
40.764,-73.986,59,24506800000000.0,86,destination,10
40.764,-73.976,59,210911000000000.0,87,destination,128
40.764,-73.976,59,211541000000000.0,87,destination,128
40.806,-73.938,59,4414680000000.0,87,destination,56
40.806,-73.938,59,156904000000000.0,87,destination,56
40.764,-73.976,59,209851000000000.0,87,destination,128
40.764,-73.976,59,251027000000000.0,87,destination,128
40.764,-73.976,59,15367100000000.0,87,destination,128
40.806,-73.938,59,108785000000000.0,87,destination,56
40.806,-73.938,59,213851000000000.0,88,destination,56
40.766,-73.984,59,208820000000000.0,88,destination,3
40.806,-73.938,59,74293500000000.0,88,destination,56
40.762,-73.984,59,123280000000000.0,88,destination,1
40.806,-73.938,59,168613000000000.0,88,destination,56
40.806,-73.938,59,209779000000000.0,89,destination,56
40.806,-73.938,59,84451300000000.0,89,destination,56
40.764,-73.976,59,215891000000000.0,89,destination,128
40.806,-73.938,59,165406000000000.0,89,destination,56
40.764,-73.976,59,152110000000000.0,89,destination,128
40.644,-73.79,59,239803000000000.0,89,destination,131
40.742,-73.974,59,19496000000000.0,90,destination,2
40.764,-73.976,59,134400000000000.0,90,destination,128
40.806,-73.938,59,189642000000000.0,90,destination,56
40.806,-73.938,59,132900000000000.0,90,destination,56
40.764,-73.976,59,19800700000000.0,90,destination,128
40.764,-73.976,59,52277400000000.0,90,destination,128
40.764,-73.976,59,64960500000000.0,90,destination,128
40.806,-73.938,59,92618300000000.0,90,destination,56
40.76,-73.978,59,186437000000000.0,90,destination,23
40.806,-73.938,59,101785000000000.0,90,destination,56
40.766,-73.976,59,186426000000000.0,90,destination,16
40.74,-74.006,59,32406200000000.0,90,destination,25
40.74,-74.006,59,33944300000000.0,90,destination,25
40.74,-74.006,59,37146600000000.0,90,destination,25
40.764,-73.976,59,176987000000000.0,90,destination,128
40.806,-73.938,59,112903000000000.0,91,destination,56
40.764,-73.976,59,225759000000000.0,91,destination,128
40.806,-73.938,59,219766000000000.0,91,destination,56
40.764,-73.976,59,29867700000000.0,91,destination,128
40.764,-73.976,59,150638000000000.0,91,destination,128
40.764,-73.976,59,190200000000000.0,91,destination,128
